,train_loss
0,1.6488755546054061
1,1.3631722251979672
2,1.2799177142430325
3,1.2202416579334103
4,1.179491129456734
5,1.1424483167273658
6,1.1109814926677821
7,1.0876998670247136
8,1.053862746880979
9,1.0253904513558563
10,1.0004905483552389
11,0.9733272325627658
12,0.9628520915094687
13,0.9390161469274637
14,0.9233124222682447
15,0.9108253775202498
16,0.8873126996415002
17,0.874180735678089
18,0.8673643527590499
19,0.8503129245067129
20,0.839523680356084
21,0.8268245802241929
22,0.8202910538838835
23,0.8133763552320247
24,0.8030813366782908
25,0.7983003599303109
26,0.7847405459199633
27,0.7818683480121651
28,0.7796139634993612
29,0.7728396401721604
30,0.7694896845793238
31,0.7670969801897906
32,0.7620844494323341
33,0.753058701449511
34,0.7586615818495653
35,0.7508301476434786
36,0.7466404559660931
37,0.7401563090329267
38,0.7395863362721035
39,0.7358441684319048
