,train_loss
0,1.7043068895534592
1,1.3853240064820465
2,1.2715640034602613
3,1.1965883203915186
4,1.146503679302274
5,1.104510055512798
6,1.0670375182312362
7,1.0248458148265371
8,1.0061000904866628
9,0.9811749403574028
10,0.9513681135615524
11,0.9231030533508379
12,0.9069632693212859
13,0.881761722722832
14,0.8570192480573848
15,0.8443983102939567
16,0.8274305201306635
17,0.8095176724755034
18,0.8007987372729243
19,0.7790366998132394
20,0.7768491190306994
21,0.7597757845508809
22,0.7500214452038005
23,0.746685979621751
24,0.7344699964231375
25,0.7279797685997826
26,0.7247209427308063
27,0.7196684269880762
28,0.7176425323194388
29,0.714150453100399
30,0.7037096896341869
31,0.6988742056549812
32,0.6991538113477279
33,0.6897883783189618
34,0.6924859796251569
35,0.6874020993709564
36,0.6833955460056966
37,0.6818441538786402
38,0.679143662355384
39,0.6795557311603001
