,train_loss
0,1.7498573660850525
1,1.405015911070668
2,1.2884756989625035
3,1.2078594024084053
4,1.1626220935461473
5,1.1159976431909873
6,1.078709671387867
7,1.0502553338907203
8,1.0299569079462363
9,1.0099704487591374
10,0.9841596018903109
11,0.9750413836873307
12,0.9469181974323428
13,0.9276684927088874
14,0.9065441930172394
15,0.8880587393531993
16,0.8691516214487504
17,0.8525649981231106
18,0.8393805388893399
19,0.8283400319668711
20,0.8063832275113281
21,0.7964890827329791
22,0.7888514977328631
23,0.7844248426203825
24,0.7735057555291117
25,0.7649990502668886
26,0.7583151973631918
27,0.7503108616386142
28,0.7452904378273049
29,0.7417919708757984
30,0.7376569378740934
31,0.7340599201163467
32,0.735197517032526
33,0.7296620342804461
34,0.7210218821253095
35,0.7152823450005784
36,0.7134163668569253
37,0.7096890274967466
38,0.7089800804245229
39,0.6985462989125933
