,train_loss
0,1.6417523668128617
1,1.399309047630855
2,1.3269364803421253
3,1.2727366539896752
4,1.2137185855179418
5,1.1789062458033464
6,1.1486174762248993
7,1.1204300212616822
8,1.0836905840100075
9,1.0572115578213517
10,1.0320170375765587
11,1.0070337549764283
12,0.9888462697973057
13,0.9538295573117782
14,0.9346389505936175
15,0.9163874217442104
16,0.9003651072176135
17,0.8832965094824227
18,0.8714684953494948
19,0.8504115267067539
20,0.8395576324998116
21,0.8285652630183161
22,0.8085792648548983
23,0.8083759187435617
24,0.8082747185716823
25,0.7964650121878605
26,0.783278091525545
27,0.7847382633053527
28,0.7726314441890133
29,0.7738505060575447
30,0.758774536604784
31,0.7428434111025869
32,0.7340872239093391
33,0.734273473066943
34,0.7413612135819027
35,0.728733731167657
36,0.7372010301570503
37,0.7281723697574771
38,0.7232463609199135
39,0.7129656552356116
